date,cases,state
"2020-08-28",21,BE
"2020-08-29",21,BE
"2020-08-30",18,BE
"2020-08-31",18,BE
"2020-09-01",15,BE
"2020-09-02",15,BE
"2020-09-03",14,BE
"2020-09-04",14,BE
"2020-09-05",14,BE
"2020-09-06",15,BE
"2020-09-07",16,BE
"2020-09-08",16,BE
"2020-09-09",15,BE
"2020-09-10",15,BE
"2020-09-11",15,BE
"2020-09-12",15,BE
"2020-09-13",15,BE
"2020-09-14",16,BE
"2020-09-15",14,BE
"2020-09-16",14,BE
"2020-09-17",14,BE
"2020-09-18",17,BE
"2020-09-19",16,BE
"2020-09-20",16,BE
"2020-09-21",19,BE
"2020-09-22",20,BE
"2020-09-23",21,BE
"2020-09-24",22,BE
"2020-09-25",23,BE
"2020-09-26",23,BE
"2020-09-27",23,BE
"2020-09-28",30,BE
"2020-09-29",31,BE
"2020-09-30",34,BE
"2020-10-01",34,BE
"2020-10-02",37,BE
"2020-10-03",39,BE
"2020-10-04",37,BE
"2020-10-05",40,BE
"2020-10-06",44,BE
"2020-10-07",42,BE
"2020-10-08",41,BE
"2020-10-09",38,BE
"2020-10-10",44,BE
"2020-10-11",50,BE
"2020-10-12",50,BE
"2020-10-13",57,BE
"2020-10-14",57,BE
"2020-10-15",68,BE
"2020-10-16",61,BE
"2020-10-17",69,BE
"2020-10-18",70,BE
"2020-10-19",83,BE
"2020-10-20",89,BE
"2020-10-21",94,BE
"2020-10-22",95,BE
"2020-10-23",104,BE
"2020-10-24",113,BE
"2020-10-25",111,BE
"2020-10-26",117,BE
"2020-10-27",132,BE
"2020-10-28",146,BE
"2020-10-29",145,BE
"2020-10-30",163,BE
"2020-10-31",166,BE
"2020-11-01",181,BE
"2020-11-02",196,BE
"2020-11-03",210,BE
"2020-11-04",214,BE
"2020-04-15",475,BW
"2020-04-16",511,BW
"2020-04-17",515,BW
"2020-04-18",515,BW
"2020-04-19",508,BW
"2020-04-20",505,BW
"2020-04-21",474,BW
"2020-04-22",478,BW
"2020-04-23",466,BW
"2020-04-24",457,BW
"2020-04-25",418,BW
"2020-04-26",379,BW
"2020-04-27",377,BW
"2020-04-28",398,BW
"2020-04-29",405,BW
"2020-04-30",389,BW
"2020-05-01",391,BW
"2020-05-02",357,BW
"2020-05-03",353,BW
"2020-05-04",355,BW
"2020-05-05",345,BW
"2020-05-06",290,BW
"2020-05-07",287,BW
"2020-05-08",256,BW
"2020-05-09",241,BW
"2020-05-10",247,BW
"2020-05-11",253,BW
"2020-05-12",229,BW
"2020-05-13",211,BW
"2020-05-14",211,BW
"2020-05-15",210,BW
"2020-05-16",193,BW
"2020-05-17",188,BW
"2020-05-18",189,BW
"2020-05-19",185,BW
"2020-05-20",170,BW
"2020-05-21",165,BW
"2020-05-22",166,BW
"2020-05-23",153,BW
"2020-05-24",149,BW
"2020-05-25",142,BW
"2020-05-26",132,BW
"2020-05-27",121,BW
"2020-05-28",118,BW
"2020-05-29",120,BW
"2020-05-30",120,BW
"2020-05-31",114,BW
"2020-06-01",114,BW
"2020-06-02",109,BW
"2020-06-03",89,BW
"2020-06-04",86,BW
"2020-06-05",92,BW
"2020-06-06",88,BW
"2020-06-07",87,BW
"2020-06-08",87,BW
"2020-06-09",83,BW
"2020-06-10",80,BW
"2020-06-11",72,BW
"2020-06-12",75,BW
"2020-06-13",71,BW
